"id","projectName","startCommit","endCommit","transformType"
"47","spring-hateoas","1f60a0c3febd7d3791cfd7fe9b23592bf0c3bf2a","e09bb4f1d6ea4b46f7dc07925234b8a3ef97fe80","0"
"48","spring-hateoas","e09bb4f1d6ea4b46f7dc07925234b8a3ef97fe80","03b6b27d782184d5c559badec6af2e69b0c1ee4e","8"
"49","spring-hateoas","03b6b27d782184d5c559badec6af2e69b0c1ee4e","37edc59ea142035b1e92f7bd6d89f287a8bf5f0d","14"
"50","spring-hateoas","37edc59ea142035b1e92f7bd6d89f287a8bf5f0d","bce93de6e2b23b2c463812e30fa2c113be70fa40","0"
"51","spring-hateoas","bce93de6e2b23b2c463812e30fa2c113be70fa40","1a73d21e791cec069452a8dc880fde1e66e6b405","0"
"52","spring-hateoas","1a73d21e791cec069452a8dc880fde1e66e6b405","7379d4f514a512457df30dbe4f15f4ff8b7086e5","0"
"53","spring-hateoas","7379d4f514a512457df30dbe4f15f4ff8b7086e5","f8c7dd91cb2420b27392735391c5677b78136166","0"
"54","spring-hateoas","f8c7dd91cb2420b27392735391c5677b78136166","d2e3dbb80c36498e5fe2d1375812a0e21a414458","4"
"55","spring-hateoas","d2e3dbb80c36498e5fe2d1375812a0e21a414458","e300c7db8d2fe3eae107f524ab7fc5ece9759d8f","6"
"56","spring-hateoas","e300c7db8d2fe3eae107f524ab7fc5ece9759d8f","ed0a81c674f90eda9c8e4d661cb37c3aec10601c","14"
"57","spring-hateoas","ed0a81c674f90eda9c8e4d661cb37c3aec10601c","2a8ba07716d81810169a628e9cc0df380378734e","7"
"58","spring-hateoas","2a8ba07716d81810169a628e9cc0df380378734e","ae9ab6cb002c452456e31d19777e4ea366408eab","12"
"59","spring-hateoas","ae9ab6cb002c452456e31d19777e4ea366408eab","ce63b4bb47c485041f99136affa4c4b12283ba6d","0"
"60","spring-hateoas","ce63b4bb47c485041f99136affa4c4b12283ba6d","746c3e40da2ed5652edd110a542479f2a85a2c16","9"
"61","spring-hateoas","746c3e40da2ed5652edd110a542479f2a85a2c16","a07b7c70200a4001b065db5ca66a3701b7907097","11"
"62","spring-hateoas","a07b7c70200a4001b065db5ca66a3701b7907097","0dc2ab1357bba0c731a0017d390df0f5674db1e2","13"
"63","spring-hateoas","0dc2ab1357bba0c731a0017d390df0f5674db1e2","fd80dc647c340fe641430806864d875f2f9f0501","4"
"64","spring-hateoas","fd80dc647c340fe641430806864d875f2f9f0501","8cb059126032044acd76cab986a493ef662660cd","4"
"65","spring-hateoas","8cb059126032044acd76cab986a493ef662660cd","554ee19f2642bc35b1f5252e4add02bd712bd013","3"
"66","spring-hateoas","554ee19f2642bc35b1f5252e4add02bd712bd013","304a0c139348d64dcf45d8fe612b673930d3ee25","10"
"67","spring-hateoas","304a0c139348d64dcf45d8fe612b673930d3ee25","71b996d967f5b45824cb55b2a87d99722882800c","14"
"68","spring-hateoas","71b996d967f5b45824cb55b2a87d99722882800c","e3f9b384df12f471b30cc14e954eceab1f3a82cc","1"
"69","spring-hateoas","e3f9b384df12f471b30cc14e954eceab1f3a82cc","40e43e03d638210f437e0f8644bcaac64ca5574b","1"
"70","spring-hateoas","40e43e03d638210f437e0f8644bcaac64ca5574b","3eb9174f8146ddfe7edf0f4d1098e1edba9bee17","10"
"71","spring-hateoas","3eb9174f8146ddfe7edf0f4d1098e1edba9bee17","4fc0a81b5e6941717af2b52d005cd000c93e6499","3"
"72","spring-hateoas","4fc0a81b5e6941717af2b52d005cd000c93e6499","383c7aec2f32d7b4308377290ad9d5ea8217f215","8"
"73","spring-hateoas","383c7aec2f32d7b4308377290ad9d5ea8217f215","2b3bd71294c6a33e700f1464ebb73ab99657be6f","11"
"74","spring-hateoas","2b3bd71294c6a33e700f1464ebb73ab99657be6f","b5f16b76a2f6170fe5de91ef22989332eed4e33f","0"
"75","spring-hateoas","b5f16b76a2f6170fe5de91ef22989332eed4e33f","9e36b9776df33c8ab81a7389b3626c72f746c583","3"
"76","spring-hateoas","9e36b9776df33c8ab81a7389b3626c72f746c583","1b31755875d1fa62a9fb06e63103788dbed25499","11"
"77","spring-hateoas","1b31755875d1fa62a9fb06e63103788dbed25499","5cae134072e0b7c2af6a49106cf5510269eb2237","6"
"78","spring-hateoas","5cae134072e0b7c2af6a49106cf5510269eb2237","7b9da74eab95253d614049c7212385709cbc60cd","10"
"79","spring-hateoas","7b9da74eab95253d614049c7212385709cbc60cd","1a28b138053e5f8fed1563a0671052a8536f0344","11"
"80","spring-hateoas","1a28b138053e5f8fed1563a0671052a8536f0344","468fe1b9d09d7c60046346a10aeb7581e2935db8","6"
"81","spring-hateoas","468fe1b9d09d7c60046346a10aeb7581e2935db8","c7a6406143d3699040ca0d579c02f0fb908fc578","1"
"82","spring-hateoas","c7a6406143d3699040ca0d579c02f0fb908fc578","184491c5ea519e0a8bd2a93375c7ac2149c5f0b0","10"
"83","spring-hateoas","184491c5ea519e0a8bd2a93375c7ac2149c5f0b0","7de16b0f6411ff304795ffc9c5fee592736e9327","1"
"84","spring-hateoas","7de16b0f6411ff304795ffc9c5fee592736e9327","083b5f2fbd7faa0382a2ae2433d94556859c8d21","11"
"85","spring-hateoas","083b5f2fbd7faa0382a2ae2433d94556859c8d21","cfb4ac2ba98ccd068d777b4456dabdeb52033521","5"
"86","spring-hateoas","cfb4ac2ba98ccd068d777b4456dabdeb52033521","5b0f0d3377d8ba63ecf85646d74af338a8a98749","10"
"87","spring-hateoas","5b0f0d3377d8ba63ecf85646d74af338a8a98749","49ab87f0c1c22664077ec07fc70caba579343d2c","14"
"88","spring-hateoas","49ab87f0c1c22664077ec07fc70caba579343d2c","28705c2a0cfef17744580a936f733c7cb13e5fce","9"
"89","spring-hateoas","28705c2a0cfef17744580a936f733c7cb13e5fce","d9cb42588b42ea9a707f022a3ef4f20171a0e020","1"
"90","spring-hateoas","d9cb42588b42ea9a707f022a3ef4f20171a0e020","9d6aa96c884b3390c576cb2899b321cc9546a94b","7"
"91","spring-hateoas","9d6aa96c884b3390c576cb2899b321cc9546a94b","9861490f82bc4de2e7bb59ea1ab16808b51bfac3","1"
"92","spring-hateoas","9861490f82bc4de2e7bb59ea1ab16808b51bfac3","ee0c149c9998c4ed6870d1097767452fe57d0c14","14"
"93","spring-hateoas","ee0c149c9998c4ed6870d1097767452fe57d0c14","28e94c369b4f9ec53b48bf9bf5d0c2f653887cc7","9"
"94","spring-hateoas","28e94c369b4f9ec53b48bf9bf5d0c2f653887cc7","3250c37bea45a0feee1efa85d89fd93c1c479b99","14"
"95","spring-hateoas","3250c37bea45a0feee1efa85d89fd93c1c479b99","adafab604214c48ccf2755105c5c0446d718b7c8","12"
"96","spring-hateoas","adafab604214c48ccf2755105c5c0446d718b7c8","2fd5185a9f7d639fa3051151076f5c39d45fa5e5","12"
"97","spring-hateoas","2fd5185a9f7d639fa3051151076f5c39d45fa5e5","fce1579b4700138ea93373812db7b60b19a72a43","9"
"98","spring-hateoas","fce1579b4700138ea93373812db7b60b19a72a43","ec8575ec7b0db3bb82ebc7700c8ecc9571fc0fe9","12"
"99","spring-hateoas","ec8575ec7b0db3bb82ebc7700c8ecc9571fc0fe9","87fc62f22132b6d5d99685894430225f5d038241","8"
"100","spring-hateoas","87fc62f22132b6d5d99685894430225f5d038241","b3be33dac0d99124b4e92e2f0f0a03db117d909e","9"
"1","spring-hateoas","b3be33dac0d99124b4e92e2f0f0a03db117d909e","01403a643b8e22717d6fa9853574cceee43a63e7","17"
"2","spring-hateoas","01403a643b8e22717d6fa9853574cceee43a63e7","eff404da34553404f71185968b9ef2b30dc89f38","17"
"1","spring-hateoas","eff404da34553404f71185968b9ef2b30dc89f38","00e443f23d7dc67e65ba2ff36d545758b27ef274","17"
"2","spring-hateoas","00e443f23d7dc67e65ba2ff36d545758b27ef274","4dfb60d287412daf468ebdc7efed1eb467d898c5","17"
"1","spring-hateoas","4dfb60d287412daf468ebdc7efed1eb467d898c5","95ef35c2652d08ddd6f7f3701c727e90dd040c1e","17"
"2","spring-hateoas","95ef35c2652d08ddd6f7f3701c727e90dd040c1e","329bda96870055c3df401464ed8497d465f4f8e9","17"
"1","spring-hateoas","329bda96870055c3df401464ed8497d465f4f8e9","775718770bf41e1391ab7b205f3161c2ac42f2fd","17"
"1","spring-hateoas","775718770bf41e1391ab7b205f3161c2ac42f2fd","1084a7f26ed387349e676966e8d177f5c3b21b8e","17"
"2","spring-hateoas","1084a7f26ed387349e676966e8d177f5c3b21b8e","531decbb210a90655c7407958b348ea4a04c9d92","17"
"1","spring-hateoas","531decbb210a90655c7407958b348ea4a04c9d92","7f421d90786d8bbd2d366df37e6e54c0267a2d0c","17"
"1","spring-hateoas","7f421d90786d8bbd2d366df37e6e54c0267a2d0c","5718d2f5234a9b7476c9488f9f83f8548b4a4487","17"
"2","spring-hateoas","5718d2f5234a9b7476c9488f9f83f8548b4a4487","ca175b27f6df3e70572bcefed0794d3f0f5464f3","17"
"1","spring-hateoas","ca175b27f6df3e70572bcefed0794d3f0f5464f3","4ec6f5f1ffcacd817fae2834f07bb0294261e4cf","17"
"2","spring-hateoas","4ec6f5f1ffcacd817fae2834f07bb0294261e4cf","f8bf996deb7d25e8b8b63ae2d281cfc079f87687","17"
"1","spring-hateoas","f8bf996deb7d25e8b8b63ae2d281cfc079f87687","ae562842c7f8d7ff1fc73a579db96bf2dc965a38","15"
"2","spring-hateoas","ae562842c7f8d7ff1fc73a579db96bf2dc965a38","47a13e6bc6093b1c9d070a3a7c074178f42689c6","15"
"1","spring-hateoas","47a13e6bc6093b1c9d070a3a7c074178f42689c6","6b569c4dabd5ce068887b936320540698456aaaf","15"
"2","spring-hateoas","6b569c4dabd5ce068887b936320540698456aaaf","7eb5f965f9f1a6917906e8700d1fcb5266b77d3b","15"
"1","spring-hateoas","7eb5f965f9f1a6917906e8700d1fcb5266b77d3b","c496a922c27e5996c841b145245f57b53e570669","15"
"2","spring-hateoas","c496a922c27e5996c841b145245f57b53e570669","4fddcbf3e333639db77b82c621ed9b9735d9defe","15"
"1","spring-hateoas","4fddcbf3e333639db77b82c621ed9b9735d9defe","4e52090f746eed556a7e7b10b9d4792074d5fb7a","15"
"2","spring-hateoas","4e52090f746eed556a7e7b10b9d4792074d5fb7a","1f69a7863fc87cf0682312645289c8808feeb63a","15"
"1","spring-hateoas","1f69a7863fc87cf0682312645289c8808feeb63a","31aef5e49834941bdf75f1c7e97269c409cf1799","15"
"2","spring-hateoas","31aef5e49834941bdf75f1c7e97269c409cf1799","fa4db984a45fc88db3a4b8792a8b6e1179b6e896","15"
"1","spring-hateoas","fa4db984a45fc88db3a4b8792a8b6e1179b6e896","eceb246b50bc51caf7d6918a6228c037b71ae410","15"
"2","spring-hateoas","eceb246b50bc51caf7d6918a6228c037b71ae410","27536186fc201df3351dac8309fe89ce1d35425d","15"
"1","spring-hateoas","27536186fc201df3351dac8309fe89ce1d35425d","85ddf47b56e98baaac6cecd813ebeeaba57017c3","15"
"2","spring-hateoas","85ddf47b56e98baaac6cecd813ebeeaba57017c3","2e92ef1ba6d6ba894dfd2eb2890c9dec8792f2ac","15"
"1","spring-hateoas","2e92ef1ba6d6ba894dfd2eb2890c9dec8792f2ac","fb3dae0471071f7bf79be285e329cb6f3492337d","15"
"2","spring-hateoas","fb3dae0471071f7bf79be285e329cb6f3492337d","948c6c74c1b215ebdf7c2377d56192745637b1e3","15"
"1","spring-hateoas","948c6c74c1b215ebdf7c2377d56192745637b1e3","76e12e237372b8ce6c2ed4f5973dcf703c440a79","15"
"1","spring-hateoas","76e12e237372b8ce6c2ed4f5973dcf703c440a79","79d8080e4a66c3d7f4dcf20c714841e45f1524f2","15"
"1","spring-hateoas","79d8080e4a66c3d7f4dcf20c714841e45f1524f2","dca2a5395b28fd8b19f49d48639bd079c4e45163","15"
