"id","projectName","startCommit","endCommit","transformType","transformTypeId","transformSum","RelatedMethodsNum"
"0","spring-hateoas","7048c0fa77e5ee193b564c52f07d60ec2ac704f9","2d935b5d9a2616f0606f12809b5a997af12f5874","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","1"
"4","spring-hateoas","2d935b5d9a2616f0606f12809b5a997af12f5874","dbb0b13873a629c9369e7121e67c5427a745f83e","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","1"
"5","spring-hateoas","dbb0b13873a629c9369e7121e67c5427a745f83e","6bf9a2b32b64743f948b00adde48fe36fbc153e2","WHILE_TO_FOR","2","1","1"
"8","spring-hateoas","6bf9a2b32b64743f948b00adde48fe36fbc153e2","a4ee0fc120d109da6ffa00a4c0e1191a3887b697","REVERSE_IF_ELSE","3","1","1"
"10","spring-hateoas","a4ee0fc120d109da6ffa00a4c0e1191a3887b697","ab304690ba3ec10f5b51bf79e86eda22c0812aca","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","1"
"11","spring-hateoas","ab304690ba3ec10f5b51bf79e86eda22c0812aca","46a7941d4aa17f2cc9faeb3eab0e3fd3d4a464bd","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","1"
"14","spring-hateoas","46a7941d4aa17f2cc9faeb3eab0e3fd3d4a464bd","b05de002df9537814bd43fc567cd23f2b202a096","FOR_TO_WHILE","1","1","1"
"17","spring-hateoas","b05de002df9537814bd43fc567cd23f2b202a096","8265f6c01447f45904eea911eb1596b3a8d3cb46","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","1"
"18","spring-hateoas","8265f6c01447f45904eea911eb1596b3a8d3cb46","e8e290e35e78d2ae0c9baa9e6f01204921fb85b4","SINGLE_IF_TO_CONDITIONAL_EXP","4","1","1"
"22","spring-hateoas","e8e290e35e78d2ae0c9baa9e6f01204921fb85b4","ae36e44a9a0ae289e339bbbcbf40715577d4f8bc","LOCAL_VAR_RENAMING","0","1","1"
"29","spring-hateoas","ae36e44a9a0ae289e339bbbcbf40715577d4f8bc","6291d59ee83ec6ea7db6deda25e7fa5fb5bf1436","LOCAL_VAR_RENAMING","0","1","1"
"37","spring-hateoas","6291d59ee83ec6ea7db6deda25e7fa5fb5bf1436","86c01c677fbd85c8745adb4dfbb7e5a7f7395180","LOCAL_VAR_RENAMING","0","1","1"
"38","spring-hateoas","86c01c677fbd85c8745adb4dfbb7e5a7f7395180","820a073a33e1fa09106edb6c7850aba8ec103d13","STATEMENTS_ORDER_REARRANGEMENT","10","1","1"
"40","spring-hateoas","820a073a33e1fa09106edb6c7850aba8ec103d13","babf856ce37f7caa121a27f2d3ca5ba2220f0a3d","LOCAL_VAR_RENAMING","0","1","1"
"41","spring-hateoas","babf856ce37f7caa121a27f2d3ca5ba2220f0a3d","afd320d71b1e535ef6666efcb6f7ca8739cdcb99","STATEMENTS_ORDER_REARRANGEMENT","10","1","1"
"42","spring-hateoas","afd320d71b1e535ef6666efcb6f7ca8739cdcb99","486986c6525dcaff4fd16292cacc4dbedb60246b","REVERSE_IF_ELSE","3","1","1"
"44","spring-hateoas","486986c6525dcaff4fd16292cacc4dbedb60246b","77cf3ba04b8ffc606f3fa7543b4f92555b9f8232","WHILE_TO_FOR","2","1","1"
"45","spring-hateoas","77cf3ba04b8ffc606f3fa7543b4f92555b9f8232","9cf6c0363d919bed2c44c1f43697d368884e3d84","LOCAL_VAR_RENAMING","0","1","1"
"47","spring-hateoas","9cf6c0363d919bed2c44c1f43697d368884e3d84","3e72dcc5fe64fcbbabaf9f52675beb2fc1ca5167","LOCAL_VAR_RENAMING","0","1","1"
"48","spring-hateoas","3e72dcc5fe64fcbbabaf9f52675beb2fc1ca5167","a2cce01e8b5c55c18b305ee9de4c3ec86958551f","FOR_TO_WHILE","1","1","1"
"50","spring-hateoas","a2cce01e8b5c55c18b305ee9de4c3ec86958551f","d4e91397ae52b85045864e5d12de5d02c74a878d","LOCAL_VAR_RENAMING","0","1","1"
