"id","projectName","startCommit","endCommit","transformType","transformTypeId","transformSum","RelatedMethodsNum"
"0","spring-hateoas","9f7a6fd53e6648a86c62c7fcd75b699d03f40615","7c9091cdad4bb3a68a5a2c7b20875dd25a158eb5","INFIX_EXPRESSION_DIVIDING","8","1","1"
"1","spring-hateoas","7c9091cdad4bb3a68a5a2c7b20875dd25a158eb5","00a0c8c1bd53506548a0f645a807f0a25109d96b","VAR_DECLARATION_MERGING","12","1","1"
"3","spring-hateoas","00a0c8c1bd53506548a0f645a807f0a25109d96b","03024ff6149c21482c9fae67640dca425c371c9a","REVERSE_IF_ELSE","3","1","1"
"5","spring-hateoas","03024ff6149c21482c9fae67640dca425c371c9a","ab9a3f9fa3b410765a95267950a229f4c48388a1","SWITCH_EQUAL_SIDES","14","1","1"
"6","spring-hateoas","ab9a3f9fa3b410765a95267950a229f4c48388a1","df8200345278b7c5778ab89f618e488a7eabc850","INFIX_EXPRESSION_DIVIDING","8","1","1"
"8","spring-hateoas","df8200345278b7c5778ab89f618e488a7eabc850","2562b54d82443a2de4a0f56bad6f145040e965e1","LOCAL_VAR_RENAMING","0","1","1"
"9","spring-hateoas","2562b54d82443a2de4a0f56bad6f145040e965e1","10769450d7448cfdcacde6cff0f6f8844aa435d5","LOCAL_VAR_RENAMING","0","1","1"
"12","spring-hateoas","10769450d7448cfdcacde6cff0f6f8844aa435d5","a2cc0e18a14315fece482f77f12312c50e07bbba","REVERSE_IF_ELSE","3","1","1"
"13","spring-hateoas","a2cc0e18a14315fece482f77f12312c50e07bbba","c31aa48d04aa128b3f9625c2d0c4cb796ef0dd4b","SWITCH_EQUAL_SIDES","14","1","1"
"14","spring-hateoas","c31aa48d04aa128b3f9625c2d0c4cb796ef0dd4b","fe95309fa964e11bc888523dbb7a3582a4818dc8","REVERSE_IF_ELSE","3","1","1"
"16","spring-hateoas","fe95309fa964e11bc888523dbb7a3582a4818dc8","6893ee6aa7b7812e68fbe1e2a047a72ea19ccbac","VAR_DECLARATION_MERGING","12","1","1"
"18","spring-hateoas","6893ee6aa7b7812e68fbe1e2a047a72ea19ccbac","bee150b91c32482674e2991619428d9b56ffaf0e","INFIX_EXPRESSION_DIVIDING","8","1","1"
"19","spring-hateoas","bee150b91c32482674e2991619428d9b56ffaf0e","8a1d8384921302e5f9bc4d607f778c5be09d5e6a","VAR_DECLARATION_DIVIDING","13","1","1"
"20","spring-hateoas","8a1d8384921302e5f9bc4d607f778c5be09d5e6a","a84c2ec8c0319d4b7ed6ba77e2f12d18acfc36c5","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","1"
"21","spring-hateoas","a84c2ec8c0319d4b7ed6ba77e2f12d18acfc36c5","7eeb00d6862cc18e714164bdbea2c8991560a322","LOCAL_VAR_RENAMING","0","1","1"
"25","spring-hateoas","7eeb00d6862cc18e714164bdbea2c8991560a322","5280f3e01ebd89992f636fde08b2cc1828a63b0b","REVERSE_IF_ELSE","3","1","1"
"26","spring-hateoas","5280f3e01ebd89992f636fde08b2cc1828a63b0b","b92b4e027c774ebcd03114c512e773e541dd8e61","VAR_DECLARATION_MERGING","12","1","1"
"29","spring-hateoas","b92b4e027c774ebcd03114c512e773e541dd8e61","77b83c3b82fa5df1b0b03c4c3dc0f766e64dc43f","VAR_DECLARATION_DIVIDING","13","1","1"
"32","spring-hateoas","77b83c3b82fa5df1b0b03c4c3dc0f766e64dc43f","b4cc2050695eb7116cfd32f4c41c7dd2d73867f1","REVERSE_IF_ELSE","3","1","1"
"33","spring-hateoas","b4cc2050695eb7116cfd32f4c41c7dd2d73867f1","568995c1f0f38d406e3396275ad2f6912273365b","SWITCH_EQUAL_SIDES","14","1","1"
"35","spring-hateoas","568995c1f0f38d406e3396275ad2f6912273365b","c265bc3f35140e8b8b0691f34e0c8a1b81338ae2","VAR_DECLARATION_MERGING","12","1","1"
"36","spring-hateoas","c265bc3f35140e8b8b0691f34e0c8a1b81338ae2","ac2680e1abd3844fd3e0ecb1b92c5d88d32c8492","SWITCH_EQUAL_SIDES","14","1","1"
"38","spring-hateoas","ac2680e1abd3844fd3e0ecb1b92c5d88d32c8492","78f6247ea8e1f78480aca855961070e6bbcf460d","VAR_DECLARATION_MERGING","12","1","1"
"39","spring-hateoas","78f6247ea8e1f78480aca855961070e6bbcf460d","2cab43daccaf53d24da21db5bf09eb85d24e6fc3","VAR_DECLARATION_MERGING","12","1","1"
"43","spring-hateoas","2cab43daccaf53d24da21db5bf09eb85d24e6fc3","d4d0f6e0c6e86f2fd19c7708b9a201a9dfc365be","INFIX_EXPRESSION_DIVIDING","8","1","1"
"46","spring-hateoas","d4d0f6e0c6e86f2fd19c7708b9a201a9dfc365be","46ee4173aa784dacb87b9043f0bb6251aa7f20dc","VAR_DECLARATION_MERGING","12","1","1"
"47","spring-hateoas","46ee4173aa784dacb87b9043f0bb6251aa7f20dc","a0993a8fd2c28863424874b167583339d90a3057","INFIX_EXPRESSION_DIVIDING","8","1","1"
"2","restlet-framework-java/org.restlet.example.book.restlet.ch08.gae","0f7d8f9017f234a8c2527be6b8e755465c6dd397","f7c7c0ae7286e197b1770f5c742a00f8f956ee9d","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","1"
"3","restlet-framework-java/org.restlet.example.book.restlet.ch08.gae","f7c7c0ae7286e197b1770f5c742a00f8f956ee9d","7aeab0f65b2b299510290b07c3add307f4cfa471","CONDITIONAL_EXP_TO_SINGLE_IF","5","1","1"
"4","restlet-framework-java/org.restlet.example.book.restlet.ch08.gae","7aeab0f65b2b299510290b07c3add307f4cfa471","1e144a2e6126b92061054e80abffa4e1ae9838e3","SWITCH_EQUAL_SIDES","14","1","1"
"8","restlet-framework-java/org.restlet.example.book.restlet.ch08.gae","1e144a2e6126b92061054e80abffa4e1ae9838e3","d1327e959501d8ddf0717212285ba237da981b4c","SWITCH_EQUAL_SIDES","14","1","1"
"9","restlet-framework-java/org.restlet.example.book.restlet.ch08.gae","d1327e959501d8ddf0717212285ba237da981b4c","1295dd96e8b5244b9122b184698f015630c34c69","REVERSE_IF_ELSE","3","1","1"
"17","restlet-framework-java/org.restlet.example.book.restlet.ch08.gae","1295dd96e8b5244b9122b184698f015630c34c69","0d4ea5cb49a7ec33203054de99b996bb59b3bd9a","REVERSE_IF_ELSE","3","1","1"
"23","restlet-framework-java/org.restlet.example.book.restlet.ch08.gae","0d4ea5cb49a7ec33203054de99b996bb59b3bd9a","a1a0f58052bf07b0760df45b9ace815448ce62ae","REVERSE_IF_ELSE","3","1","1"
"5","restlet-framework-java/org.restlet.example.book.restlet.ch09.android","a1a0f58052bf07b0760df45b9ace815448ce62ae","6ae6af18f8a25a287920b4622c40142b384412a5","FOR_TO_WHILE","1","1","1"
"8","restlet-framework-java/org.restlet.example.book.restlet.ch09.android","6ae6af18f8a25a287920b4622c40142b384412a5","a725ee6113d9182187275588a21d9cd9a8ec0ca2","STATEMENTS_ORDER_REARRANGEMENT","10","1","1"
"15","restlet-framework-java/org.restlet.example.book.restlet.ch09.android","a725ee6113d9182187275588a21d9cd9a8ec0ca2","f42f3b0b32b60a928e8f39dc6c5462bff7b802cb","LOCAL_VAR_RENAMING","0","1","1"
"18","restlet-framework-java/org.restlet.example.book.restlet.ch09.android","f42f3b0b32b60a928e8f39dc6c5462bff7b802cb","90d344fdbc709212dfdac2f9410faab31b18f203","STATEMENTS_ORDER_REARRANGEMENT","10","1","1"
