"project_name","start_end_SHA","noiseType","changeSet-triple"
"E:\project-DataSets20240917\helios","[6c712f7a086ba925d2caeb73dc4a65ea1faba773, ccb87dd8d55ea771d3ac6685b190f5402b46bf3a, f3f67588e1263e07df77e9a1e993b06fddd9f880, fcf4ef1cc13df94f08d4c9733c654cd625934ef2]","[[helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_PARAMETER, helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_VARIABLE], [helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE]","[PollingDockerClient, waitContainer]"
"E:\project-DataSets20240917\helios","[23a91d9b7ae3191d1187e1eef39100cfc97ec387, 3c1a995665c605c50f171976729a688988c74407, 7e7cf2e30e2a721a139a1c63a4def9bbae1c2d5c, d975be1f5fb2320b49e29b9db486106941be7b79]","[NO_NOISE, NO_NOISE, [helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_ATTRIBUTE, helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_PARAMETER], NO_NOISE]","[PollingDockerClient, waitContainer]"
"E:\project-DataSets20240917\helios","[08f22806dc775814635accd099c47279d8aa7601, 65723f2ba029380217b3e924740fef3b46ef238d, acdf768f77d78fa756f91427391608450edcd138, f33f413041e42bff5fc684d33414966df51f7b6d]","[NO_NOISE, NO_NOISE, [helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_PARAMETER], [helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_PARAMETER]]","[PollingDockerClient, waitContainer]"
"E:\project-DataSets20240917\helios","[10ec8f8dd46a29edea93499f52714ab9e1e45465, 2b6560f53aefdccd5d23e8970978d43f19c3c1fc, 38caf1560ddf9f4ce4a84de71076aa1bad339bb4, 687faa8aafbb09d29006461f5e0a295136d634d6]","[[helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_ATTRIBUTE, helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_PARAMETER], [helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_PARAMETER, helios-services/src/main/java/com/spotify/helios/agent/PollingDockerClient.java|RENAME_VARIABLE], [helios-services/src/main/java/com/spotify/helios/agent/BindVolumeContainerDecorator.java|EXTRACT_VARIABLE, helios-services/src/main/java/com/spotify/helios/agent/BindVolumeContainerDecorator.java|INVERT_CONDITION, helios-services/src/main/java/com/spotify/helios/agent/NoOpContainerDecorator.java|RENAME_PARAMETER, helios-services/src/main/java/com/spotify/helios/agent/SignalAwaitingService.java|RENAME_ATTRIBUTE, helios-services/src/main/java/com/spotify/helios/agent/SignalAwaitingService.java|RENAME_PARAMETER, helios-services/src/main/java/com/spotify/helios/master/resources/VersionResource.java|INVERT_CONDITION, helios-services/src/main/java/com/spotify/helios/rollingupdate/RollingUndeployPlanner.java|RENAME_PARAMETER, helios-services/src/main/java/com/spotify/helios/servicescommon/CommonConfiguration.java|RENAME_PARAMETER, helios-services/src/main/java/com/spotify/helios/servicescommon/DefaultReactor.java|RENAME_ATTRIBUTE, helios-services/src/main/java/com/spotify/helios/servicescommon/DefaultReactor.java|RENAME_PARAMETER, helios-services/src/main/java/com/spotify/helios/servicescommon/coordination/Check.java|EXTRACT_VARIABLE, helios-services/src/main/java/com/spotify/helios/servicescommon/statistics/MeterRates.java|RENAME_ATTRIBUTE, helios-services/src/main/java/com/spotify/helios/servicescommon/statistics/MeterRates.java|RENAME_PARAMETER, helios-services/src/main/java/com/spotify/helios/servicescommon/statistics/NoopMasterMetrics.java|RENAME_PARAMETER], [helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistrar.java|RENAME_PARAMETER]]","[BindVolumeContainerDecorator, Check, DefaultReactor, HostInfoReporter, MeterRates, PollingDockerClient, RollingUndeployPlanner, SignalAwaitingService, TaskConfig, addDeploymentGroup, addJob, allowHostChange, assertTaskExists, beforeIteration, binds, checkException, checkHostUp, containerConfig, containerEnv, containerEnvStrings, containerPort, decorateHostConfig, deployJobRetry, dockerVersion, emitEvents, endpointHealthCheck, equals, getDeployment, getDeploymentGroupStatus, getDeploymentGroupTasks, getEnvironment, getFifteenMinuteRate, getFiveMinuteRate, getHostStatus, getInitRollingUpdateOps, getJob, getJobCreation, getJobHistory, getJobStatus, getJobs, getKafkaBrokers, getOneMinuteRate, getPubsubPrefixes, getRunningMasters, getTaskStatus, getTaskStatuses, getTasks, hashCode, hostConfig, isValidBind, listHostJobs, listHosts, listJobHosts, namespace, of, plan, portBindings, processRollingUpdateTask, redundantUndeployment, register, registration, removeDeploymentGroup, removeJob, removedHosts, rollingUpdate, rollingUpdateAwaitRunning, rollingUpdateAwaitUndeployed, rollingUpdateDeploy, rollingUpdateMarkUndeployed, rollingUpdateStep, rollingUpdateTimedoutError, rollingUpdateUndeploy, rolloutOptionsWithFallback, rolloutTasks, run, runOneIteration, setKafkaBrokers, setPubsubPrefixes, signal, signalRunnable, staticPorts, stopDeploymentGroup, toString, tryGetEntity, undeployJob, unregister, updateDeployment, updateDeploymentGroupHosts, updateOnHostChange, version, versionCheck, volumes, waitContainer]"
"E:\project-DataSets20240917\helios","[474788bbaf46e95d70b3bb8084d1e1eb481e67ab, 58cf065ac72332a9b8f8c05ab31d179ba411b2df, 90dfde3ee68ffb46f1e13a94bb5e0cc607a289f7, b35ed3d14261ecef3f46e439d71e376106e0d417]","[[helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistrar.java|RENAME_PARAMETER], [helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistrar.java|RENAME_PARAMETER], [helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistrar.java|RENAME_PARAMETER], [helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistrar.java|RENAME_PARAMETER]]","[register, unregister]"
"E:\project-DataSets20240917\helios","[3407f49d43232e598d8eb1ffe6dbdfdb28396583, 5b69c34eda9458b3cb1e358e2d748e8f5733170a, 99c0535a1bd0f832d11c825f2a23121a3b443d91, be1eb7619ba99529be93f1dca2ccd0463fec4961]","[[helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistrar.java|RENAME_PARAMETER], [helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/NopServiceRegistrarFactory.java|RENAME_PARAMETER, helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistrarLoadingException.java|RENAME_PARAMETER, helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistration.java|EXTRACT_VARIABLE, helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistration.java|RENAME_ATTRIBUTE, helios-service-registration/src/main/java/com/spotify/helios/serviceregistration/ServiceRegistration.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE]","[Endpoint, ServiceRegistrarLoadingException, ServiceRegistration, close, create, createForDomain, endpoint, equals, getEndpoints, hashCode, load, newBuilder, pluginClassLoader, register, unregister]"
"E:\project-DataSets20240917\WebGoat","[105faff3beeb0c644316eb8c7828c0b49125e313, 6da006bade2f9db4c4ea0c8f99d75863128fef51, 72df60185ef653c0e845128d72c7ac3b78e37fea, f42e77986eb5736e06d49d75a431181380be4883]","[[webgoat-server/src/main/java/org/owasp/webgoat/HSQLDBDatabaseConfig.java|RENAME_PARAMETER], [webgoat-server/src/main/java/org/owasp/webgoat/StartWebGoat.java|RENAME_PARAMETER], [webgoat-server/src/main/java/org/owasp/webgoat/HSQLDBDatabaseConfig.java|RENAME_PARAMETER], [webgoat-server/src/main/java/org/owasp/webgoat/HSQLDBDatabaseConfig.java|RENAME_PARAMETER, webgoat-server/src/main/java/org/owasp/webgoat/HSQLDBDatabaseConfig.java|RENAME_VARIABLE]]","[dataSource, hsqlStandalone, main, shutdown]"
"E:\project-DataSets20240917\WebGoat","[1bb5aeb2a41d858947d98ba4f0d3e1bd8297bc50, 449c6dd37c9fb81c3791e6ec8a9c56131eb38e8a, 850e5ce40f23efc109a03c685914de9b9d7e2eeb, dc80c358ead89fb0a777d603678e47731104d19a]","[NO_NOISE, NO_NOISE, NO_NOISE, [webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/Comments.java|RENAME_ATTRIBUTE, webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/Comments.java|RENAME_PARAMETER]]","[addComment, parseXml]"
"E:\project-DataSets20240917\WebGoat","[202bd32de793dd5c5bdcc727730fea19b37400a4, 460b1d38019484d415d121445874afc36e1ca559, 64083db8d4662a3d1b5cfa0cfaececc10ade8955, ade41f3a061b40fcc3bccbb857c81b6ad7933ce6]","[[webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/Comments.java|RENAME_VARIABLE], NO_NOISE, NO_NOISE, NO_NOISE]","[addComment, getComments, parseJson, parseXml]"
"E:\project-DataSets20240917\WebGoat","[13cab1883b66c329b8ece8f6a66654e0366f2f5d, 99514eb6432c55074c5a439e28cb42e2045ab71d, ba42249b846834b73b079401867c35481db03838, c7b2f64832eaead6af3acfbca4e7a1e1a11c9170]","[[webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/Comments.java|RENAME_VARIABLE], [webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/Comments.java|INVERT_CONDITION], [webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/CommentsEndpoint.java|RENAME_ATTRIBUTE, webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/ContentTypeAssignment.java|EXTRACT_VARIABLE, webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/ContentTypeAssignment.java|RENAME_ATTRIBUTE, webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/ContentTypeAssignment.java|RENAME_PARAMETER, webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/xxe/ContentTypeAssignment.java|RENAME_VARIABLE], NO_NOISE]","[addComment, checkSolution, createNewUser, getComments, parseXml, retrieveComments]"
