"project_name","start_end_SHA","noiseType","changeSet-triple"
"E:\project-DataSets20240920\netty","[177049dcc0ecb20e921d6c8dcf3f96f45a888be9, 3f2ef05f7dd779433eae4a09361012aaa19188a6, 6a7a3307b986cfecd6b18a6469c97cc97728f60e, 177049dcc0ecb20e921d6c8dcf3f96f45a888be9, 1b0eb3f4a7e474c0809c450b20ecf724734e63c9, 6a7a3307b986cfecd6b18a6469c97cc97728f60e]","[[transport/src/main/java/io/netty/channel/ChannelProgressiveFuture.java|RENAME_PARAMETER], [transport/src/main/java/io/netty/channel/ChannelProgressiveFuture.java|RENAME_PARAMETER], [transport/src/main/java/io/netty/channel/ChannelHandler.java|RENAME_PARAMETER, transport/src/main/java/io/netty/channel/ChannelProgressiveFuture.java|RENAME_PARAMETER, transport/src/main/java/io/netty/channel/DefaultChannelProgressivePromise.java|RENAME_ATTRIBUTE, transport/src/main/java/io/netty/channel/DefaultMaxBytesRecvByteBufAllocator.java|EXTRACT_VARIABLE, transport/src/main/java/io/netty/channel/nio/NioEventLoop.java|EXTRACT_VARIABLE, transport/src/main/java/io/netty/channel/nio/NioEventLoop.java|INVERT_CONDITION, transport/src/main/java/io/netty/channel/nio/NioEventLoop.java|RENAME_PARAMETER, transport/src/main/java/io/netty/channel/nio/NioEventLoop.java|RENAME_VARIABLE, transport/src/main/java/io/netty/channel/socket/nio/NioDomainSocketUtil.java|RENAME_PARAMETER, transport/src/main/java/io/netty/channel/socket/nio/NioDomainSocketUtil.java|RENAME_VARIABLE]]","[DefaultChannelProgressivePromise, NioEventLoopGroup, addListener, addListeners, afterScheduledTaskSubmitted, allocate, await, awaitUninterruptibly, channel, checkDeadLock, closeAll, continueReading, exceptionCaught, executor, flushCheckpoint, guess, handleLoopException, handlerAdded, handlerRemoved, incMessagesRead, isVoid, lastBytesRead, maxBytesPerIndividualRead, maxBytesPerRead, newChild, openSelector, processSelectedKey, processSelectedKeysPlain, promise, rebuildSelector, rebuildSelector0, rebuildSelectors, register, register0, registeredChannels, registeredChannelsIterator, removeListener, removeListeners, reset, setFailure, setProgress, setSuccess, sync, syncUninterruptibly, toString, trySuccess, unvoid]"
"E:\project-DataSets20240920\netty","[49cf200ad11654e623887460b7b6d66f031a9cfd, 1b0eb3f4a7e474c0809c450b20ecf724734e63c9, 7824da320d2b03ce1f20e0680d1bd577127066ab, 49cf200ad11654e623887460b7b6d66f031a9cfd, 94e337f93acad81140649f31177cec623b0b25f7, 7824da320d2b03ce1f20e0680d1bd577127066ab]","[[transport-udt/src/main/java/io/netty/channel/udt/UdtServerChannelConfig.java|RENAME_PARAMETER], [transport-udt/src/main/java/io/netty/channel/udt/UdtServerChannelConfig.java|RENAME_PARAMETER], [transport-udt/src/main/java/io/netty/channel/udt/UdtMessage.java|RENAME_PARAMETER, transport-udt/src/main/java/io/netty/channel/udt/nio/NioUdtByteAcceptorChannel.java|RENAME_PARAMETER, transport-udt/src/main/java/io/netty/channel/udt/nio/NioUdtMessageAcceptorChannel.java|RENAME_PARAMETER, transport-udt/src/main/java/io/netty/channel/udt/nio/NioUdtMessageConnectorChannel.java|RENAME_PARAMETER, transport-udt/src/main/java/io/netty/channel/udt/nio/NioUdtMessageConnectorChannel.java|RENAME_VARIABLE, transport-udt/src/main/java/io/netty/channel/udt/nio/NioUdtProvider.java|INVERT_CONDITION]]","[NioUdtByteAcceptorChannel, NioUdtMessageAcceptorChannel, NioUdtMessageConnectorChannel, NioUdtProvider, UdtMessage, apply, channelUDT, copy, doConnect, doFinishConnect, doReadMessages, doWriteMessage, duplicate, getBacklog, getOption, getOptions, newAcceptorChannelUDT, newConnectorChannel, replace, retain, retainedDuplicate, setAllocator, setAutoClose, setAutoRead, setBacklog, setConnectTimeoutMillis, setMaxMessagesPerRead, setMessageSizeEstimator, setOption, setProtocolReceiveBufferSize, setProtocolSendBufferSize, setReceiveBufferSize, setRecvByteBufAllocator, setReuseAddress, setSendBufferSize, setSoLinger, setSystemReceiveBufferSize, setSystemSendBufferSize, setWriteBufferHighWaterMark, setWriteBufferLowWaterMark, setWriteBufferWaterMark, setWriteSpinCount, touch]"
"E:\project-DataSets20240920\netty","[87967f4961e7a8bce116e862153c15e779a3f744, 94e337f93acad81140649f31177cec623b0b25f7, 9e67897d4f645c4e176e28c845173fbb24ffd3d4, 87967f4961e7a8bce116e862153c15e779a3f744, ef693573583514ce1a7c0e0d200a99d4e6cd78c7, 9e67897d4f645c4e176e28c845173fbb24ffd3d4]","[[transport-sctp/src/main/java/io/netty/channel/sctp/SctpServerChannelConfig.java|RENAME_PARAMETER], [transport-sctp/src/main/java/io/netty/channel/sctp/SctpServerChannelConfig.java|RENAME_PARAMETER], [transport-sctp/src/main/java/io/netty/channel/sctp/SctpServerChannelConfig.java|RENAME_PARAMETER]]","[setAllocator, setAutoClose, setBacklog, setConnectTimeoutMillis, setWriteBufferHighWaterMark]"
"E:\project-DataSets20240920\netty","[1428c00789105103c6f2d4ce49104f6f5060454e, ef693573583514ce1a7c0e0d200a99d4e6cd78c7, d032d99ea90700a34cd60533f0a92e2150228a42, 1428c00789105103c6f2d4ce49104f6f5060454e, bd7e9bde7e7af55ddba6f8fa2dbb9273b3f1d71b, d032d99ea90700a34cd60533f0a92e2150228a42]","[[transport-sctp/src/main/java/com/sun/nio/sctp/SctpChannel.java|RENAME_PARAMETER, transport-sctp/src/main/java/io/netty/channel/sctp/SctpServerChannelConfig.java|RENAME_PARAMETER, transport-sctp/src/main/java/io/netty/channel/sctp/nio/NioSctpServerChannel.java|INVERT_CONDITION, transport-sctp/src/main/java/io/netty/channel/sctp/nio/NioSctpServerChannel.java|RENAME_PARAMETER, transport-sctp/src/main/java/io/netty/channel/sctp/nio/NioSctpServerChannel.java|RENAME_VARIABLE, transport-sctp/src/main/java/io/netty/channel/sctp/oio/OioSctpServerChannel.java|EXTRACT_VARIABLE, transport-sctp/src/main/java/io/netty/handler/codec/sctp/SctpMessageToMessageDecoder.java|INVERT_CONDITION, transport-sctp/src/main/java/io/netty/handler/codec/sctp/SctpMessageToMessageDecoder.java|RENAME_PARAMETER, transport-sctp/src/main/java/io/netty/handler/codec/sctp/SctpMessageToMessageDecoder.java|RENAME_VARIABLE, transport-sctp/src/main/java/io/netty/handler/codec/sctp/SctpOutboundByteStreamHandler.java|RENAME_ATTRIBUTE, transport-sctp/src/main/java/io/netty/handler/codec/sctp/SctpOutboundByteStreamHandler.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE]","[DefaultSctpServerChannelConfig, RxtxChannel, SctpChannel, SctpOutboundByteStreamHandler, acceptInboundMessage, bindAddress, doBind, doClose, doConnect, doReadMessages, encode, getBacklog, getInitMaxStreams, getOption, getOptions, getReceiveBufferSize, getRemoteAddresses, getSendBufferSize, newSocket, open, setAllocator, setAutoClose, setAutoRead, setBacklog, setConnectTimeoutMillis, setInitMaxStreams, setMaxMessagesPerRead, setMessageSizeEstimator, setOption, setReceiveBufferSize, setRecvByteBufAllocator, setSendBufferSize, setWriteBufferHighWaterMark, setWriteBufferLowWaterMark, setWriteBufferWaterMark, setWriteSpinCount, valueOf]"
"E:\project-DataSets20240920\netty","[34670545b3788eef55bec7674369e813871d89a6, bd7e9bde7e7af55ddba6f8fa2dbb9273b3f1d71b, 02372ad908ab62dc4235ca053ca49b06d2810a01, 34670545b3788eef55bec7674369e813871d89a6, 9ad5466b3051b81afd37cf9ccea1dd2585e05e98, 02372ad908ab62dc4235ca053ca49b06d2810a01]","[NO_NOISE, NO_NOISE, NO_NOISE]","[RxtxChannel, connect, doClose, run, valueOf]"
"E:\project-DataSets20240920\netty","[be29daea223e038dee97b0c77242884ea04c000a, 9ad5466b3051b81afd37cf9ccea1dd2585e05e98, 4e87052db7b76d2e6b9c78546b8f2112d620896a, be29daea223e038dee97b0c77242884ea04c000a, d38231ace2c7b6d0dd6fbe8419911f7c359a7885, 4e87052db7b76d2e6b9c78546b8f2112d620896a]","[NO_NOISE, NO_NOISE, [transport-rxtx/src/main/java/io/netty/channel/rxtx/RxtxChannelConfig.java|RENAME_PARAMETER, transport-rxtx/src/main/java/io/netty/channel/rxtx/RxtxChannelConfig.java|RENAME_VARIABLE]]","[setMessageSizeEstimator, valueOf]"
"E:\project-DataSets20240920\netty","[3fa89bd5a502a4b6955bddd9d50b3f2c64ebfe7d, d38231ace2c7b6d0dd6fbe8419911f7c359a7885, 79e9180767ef25f7e7aceb3dfda91f1b52e48f8f, 3fa89bd5a502a4b6955bddd9d50b3f2c64ebfe7d, 1930918622aaba2bfaeab332cccb175ae2a79720, 79e9180767ef25f7e7aceb3dfda91f1b52e48f8f]","[NO_NOISE, NO_NOISE, NO_NOISE]","[connect, valueOf]"
"E:\project-DataSets20240920\netty","[ee9eda0d0a453d89bea1c1bf62490e109be4df29, 1930918622aaba2bfaeab332cccb175ae2a79720, 46b9a6fd2d7966d7aa6216de879a12aa6f67a5c0, ee9eda0d0a453d89bea1c1bf62490e109be4df29, af98c23a49eb55daaf2630bc96b3a6c7e51af4ed, 46b9a6fd2d7966d7aa6216de879a12aa6f67a5c0]","[NO_NOISE, NO_NOISE, [transport-rxtx/src/main/java/io/netty/channel/rxtx/DefaultRxtxChannelConfig.java|RENAME_ATTRIBUTE, transport-rxtx/src/main/java/io/netty/channel/rxtx/DefaultRxtxChannelConfig.java|RENAME_PARAMETER, transport-rxtx/src/main/java/io/netty/channel/rxtx/RxtxChannelConfig.java|RENAME_PARAMETER, transport-rxtx/src/main/java/io/netty/channel/rxtx/RxtxDeviceAddress.java|RENAME_ATTRIBUTE, transport-rxtx/src/main/java/io/netty/channel/rxtx/RxtxDeviceAddress.java|RENAME_PARAMETER]]","[Databits, DefaultRxtxChannelConfig, Paritybit, RxtxChannel, RxtxChannelOption, RxtxDeviceAddress, Stopbits, config, connect, doConnect, doInit, getBaudrate, getDatabits, getOption, getOptions, getParitybit, getReadTimeout, getStopbits, getWaitTimeMillis, isDtr, isOpen, isRts, newUnsafe, setAllocator, setAutoClose, setAutoRead, setBaudrate, setConnectTimeoutMillis, setDatabits, setDtr, setMaxMessagesPerRead, setMessageSizeEstimator, setOption, setParitybit, setReadTimeout, setRecvByteBufAllocator, setRts, setStopbits, setWaitTimeMillis, setWriteBufferHighWaterMark, setWriteBufferLowWaterMark, setWriteBufferWaterMark, setWriteSpinCount, value, valueOf]"
"E:\project-DataSets20240920\netty","[d232b8fcba36c01867390ed01e8dd251dfeb8c50, af98c23a49eb55daaf2630bc96b3a6c7e51af4ed, 5381f1c574df9b07fbdb880d59996bf54b1a83dc, d232b8fcba36c01867390ed01e8dd251dfeb8c50, 1f3fb41ecb1bf78870848c4b8198f4ba0aab152f, 5381f1c574df9b07fbdb880d59996bf54b1a83dc]","[[transport-native-unix-common/src/main/java/io/netty/channel/unix/ErrorsStaticallyReferencedJniMethods.java|RENAME_PARAMETER], [transport-native-unix-common/src/main/java/io/netty/channel/unix/ErrorsStaticallyReferencedJniMethods.java|RENAME_PARAMETER], [transport-native-unix-common/src/main/java/io/netty/channel/unix/ErrorsStaticallyReferencedJniMethods.java|RENAME_PARAMETER]]","[strError]"
"E:\project-DataSets20240920\netty","[6447dff93740c3e368adf0aceacd33daee4a3cb8, 1f3fb41ecb1bf78870848c4b8198f4ba0aab152f, dce55acf1a92098d024ec3f9523316e760eb3397, 6447dff93740c3e368adf0aceacd33daee4a3cb8, b7db079d9029e4f0423bfed1ebfdc0b220a6fcd6, dce55acf1a92098d024ec3f9523316e760eb3397]","[[transport-native-unix-common/src/main/java/io/netty/channel/unix/ErrorsStaticallyReferencedJniMethods.java|RENAME_PARAMETER], [transport-native-unix-common/src/main/java/io/netty/channel/unix/ErrorsStaticallyReferencedJniMethods.java|RENAME_PARAMETER], [transport-native-unix-common/src/main/java/io/netty/channel/unix/Buffer.java|INVERT_CONDITION]]","[memoryAddress, strError]"
