"project_name","start_end_SHA","noiseType","changeSet-triple"
"E:\project-DataSets20240917\spring-hateoas","[37cb3f0be09bc87e0275654b444ffd021880c53b, 603158614f955c7268d50a5c6d7de164ccf207c6, 6b0330d0cc3a220122fb51993d335c784acd4758, 8438b4cfbefcd40389d522ac99a535bf45fbae1b]","[[src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER, src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_VARIABLE], [src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER], [src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER, src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_VARIABLE], [src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER]]","[createNewInstance, linkToInternal, of, toBuilder, withRel]"
"E:\project-DataSets20240917\spring-hateoas","[97199d149d180486f7efb170483bef037887585e, 9d268a2045ecff7e7095b130e01ce0fdd31123b2, acd500753c4785c3452349bb2ba186ad2e573e20, b0c28b98db6508455263869c0a22d08fabc7a0f4]","[[src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE, NO_NOISE]","[WebFluxBuilder, linkTo, of]"
"E:\project-DataSets20240917\spring-hateoas","[087a48d0cdfedc9177a46742c589dcf9064fb626, 2ff5dffdcbb8798753d10c055d3ddabe98318ad0, 3b48b612735951cadef13fdc0c9861bfb1179adb, ff8ccb57cedbb9415b036240c53ec8e444721d5b]","[NO_NOISE, [src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_ATTRIBUTE, src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER], NO_NOISE, [src/main/java/org/springframework/hateoas/mediatype/MessageSourceResolver.java|RENAME_ATTRIBUTE, src/main/java/org/springframework/hateoas/mediatype/MessageSourceResolver.java|RENAME_PARAMETER, src/main/java/org/springframework/hateoas/mediatype/MessageSourceResolver.java|RENAME_VARIABLE, src/main/java/org/springframework/hateoas/mediatype/hal/forms/HalFormsProperty.java|EXTRACT_VARIABLE, src/main/java/org/springframework/hateoas/mediatype/hal/forms/HalFormsProperty.java|RENAME_ATTRIBUTE, src/main/java/org/springframework/hateoas/mediatype/hal/forms/HalFormsProperty.java|RENAME_PARAMETER, src/main/java/org/springframework/hateoas/server/core/DelegatingEntityLinks.java|RENAME_PARAMETER, src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER]]","[DelegatingEntityLinks, HalFormsProperty, MessageSourceResolver, WebFluxLink, WebFluxLinkBuilder, andAffordance, cleanupPart, compare, consumeQuotedString, createNewInstance, deriveElementType, equals, getConsumes, getMappingFrom, getName, getPluginFor, getRegex, hypermediaWebMvcConverters, linkFor, linkForItemResource, linkTo, linkToInternal, linkToItemResource, loadResourceBundleResources, lookupMessageSource, map, of, parseLink, relProviderPluginRegistry, resolve, toMono, toString, withMax, withMaxLength, withMin, withMinLength, withMulti, withOptions, withPlaceholder, withPrompt, withReadOnly, withRegex, withRel, withRequired, withType, withValue]"
"E:\project-DataSets20240917\spring-hateoas","[11b0888ed31f37c0a249e3b2370c3dd76e28bd9d, 1c26efb88c6e5cf8d5976a5508360c8b667ac0ef, 2ba26707fbd2c9e047962d3139a3157e9667bf9c, e110faacca0bbfee4e3e24cb4cb8229f71757436]","[[src/main/java/org/springframework/hateoas/Link.java|ADD_METHOD_MODIFIER, src/main/java/org/springframework/hateoas/Link.java|CHANGE_VARIABLE_TYPE, src/main/java/org/springframework/hateoas/Link.java|REMOVE_METHOD_ANNOTATION, src/main/java/org/springframework/hateoas/Link.java|RENAME_PARAMETER, src/main/java/org/springframework/hateoas/LinkParser.java|CHANGE_VARIABLE_TYPE, src/main/java/org/springframework/hateoas/LinkParser.java|REMOVE_METHOD_ANNOTATION, src/main/java/org/springframework/hateoas/LinkParser.java|REMOVE_PARAMETER_ANNOTATION, src/main/java/org/springframework/hateoas/Links.java|MERGE_CONDITIONAL, src/test/java/org/springframework/hateoas/LinkParserUnitTests.java|CHANGE_VARIABLE_TYPE, src/test/java/org/springframework/hateoas/LinkParserUnitTests.java|EXTRACT_CLASS, src/test/java/org/springframework/hateoas/LinkParserUnitTests.java|MOVE_OPERATION, src/test/java/org/springframework/hateoas/LinkUnitTest.java|MOVE_OPERATION, src/test/java/org/springframework/hateoas/LinksUnitTest.java|EXTRACT_CLASS], [src/main/java/org/springframework/hateoas/Link.java|ADD_METHOD_ANNOTATION, src/main/java/org/springframework/hateoas/Link.java|CHANGE_OPERATION_ACCESS_MODIFIER, src/main/java/org/springframework/hateoas/Links.java|CHANGE_OPERATION_ACCESS_MODIFIER, src/main/java/org/springframework/hateoas/Links.java|CHANGE_VARIABLE_TYPE]]","[Link, andAffordances, consumeQuotedString, equals, getName, getTemplate, parse, parseLink, parseLinks, quoteParamValue, skipsEmptyLinkElements, templateOrNull, toString, valueOf]"
"E:\project-DataSets20240917\spring-hateoas","[0e723910c2173cab855325697bcdaa392b8161e8, 2e731dad7ee3640ca358bbcb9c93619b2cc56608, 4828b01bafa0b63f7627ffd3d54423aa37bcfc05, a495d10f9a0cb6bf614b75b49ae4e2e41588495b]","[]","[]"
"E:\project-DataSets20240917\spring-hateoas","[84b11cfecb1378d5e38219c3d53bd7c345257008, 90d0c695caa2fb46ecf30d629595c8fc79dc7ffa, ab72610e5c3c368a4156dfe04118fd849b62d812, bc88ac2c285a68935d05438073934ecb4ea832c7]","[]","[]"
"E:\project-DataSets20240917\spring-data-neo4j","[3f79248306d8dc28a3663403d2e88d25858aab25, 7ed1ee53c5a1c651d40071182c8dc56419b73d6a, a26bd3df073c339ad30daf5b778c1739fd8e9562, fb55e92f9e5a973af0b59ff99374e86c5b4f15f1]","[[spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_ATTRIBUTE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_PARAMETER], [spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/ChainedTransactionManager.java|INVERT_CONDITION, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/ChainedTransactionManager.java|RENAME_ATTRIBUTE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/ChainedTransactionManager.java|RENAME_PARAMETER, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/ChainedTransactionManager.java|RENAME_VARIABLE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_ATTRIBUTE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_PARAMETER, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_VARIABLE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/SpringProvider.java|RENAME_PARAMETER, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/SpringServiceImpl.java|RENAME_PARAMETER, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/SpringServiceImpl.java|RENAME_VARIABLE], [spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_VARIABLE], [spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER]]","[ChainedTransactionManager, MultiTransactionStatus, as, commit, convert, createSavepoint, getEventIdentifier, getMainTransactionStatus, getStatus, getTransaction, isCompleted, registerTransactionManager, release, resume, rollback, rollbackToSavepoint, to]"
"E:\project-DataSets20240917\spring-data-neo4j","[31d93f24c6bddc3bbe1c3e288262627cc2e4ed44, 651d2117418e0d15605438724f6e569e6f3ad37c, 7ac3c376b10498f8bafb5e7208ce1424d2916619, 879ad326095ccfafbd3eee39d8eef1cf1b213195]","[[spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_VARIABLE], [spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER], [spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER], NO_NOISE]","[as, getOrCreateNode, handle, iterator, to]"
"E:\project-DataSets20240917\spring-data-neo4j","[2e5be4671d1f80caf62663d3c9d4737466954709, 674658926029e1829dfe4e96a2008af5a877ceb6, 8db4d61957c743d049c56a94363e06038871598f, d12215f737f78381a3cc0b331a39cc007457c5d4]","[NO_NOISE, NO_NOISE, NO_NOISE, NO_NOISE]","[createResultConverter, getOrCreateNode, query, queryEngineFor]"
"E:\project-DataSets20240917\spring-data-neo4j","[3ef0cdf05ed738bd5a47cafb985e9de0f4b5cbd9, 48aeeca5b7443b1cf92f5dcc245506de0281e54a, b1b2dbf7c41d13bb47b7774d6cbd8196d5bc374f, e0dd12c818570c7e01d280d2240dbdb042802968]","[[spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringHandler.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestCypherQueryEngine.java|RENAME_ATTRIBUTE, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestCypherQueryEngine.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGraphDatabase.java|EXTRACT_VARIABLE, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGraphDatabase.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGremlinQueryEngine.java|INVERT_CONDITION, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGremlinQueryEngine.java|RENAME_ATTRIBUTE, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGremlinQueryEngine.java|RENAME_PARAMETER], [spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_VARIABLE], [spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_ATTRIBUTE], [spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_PARAMETER]]","[SpringRestGraphDatabase, beginTx, createNode, fromJsonToTodo, getIndex, getIsDone, getTitle, getTransactionManager, getTxManager, queryEngineFor, setIsDone, setTitle, toString]"
"E:\project-DataSets20240917\spring-data-neo4j","[00aaaf6c37bb1884becec2c346141210d4ffc02d, 157a4b5596b3c94ee308175dead4cbf2e628a768, 4f9fd5a367c1753462893a257a78f88e2f5eeb18, 9444cd93744a9882f77846d5521f7c0505e22929]","[[spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_PARAMETER], [spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_ATTRIBUTE], [spring-data-neo4j-examples/todos/src/main/java/Main.java|EXTRACT_VARIABLE, spring-data-neo4j-examples/todos/src/main/java/Main.java|RENAME_VARIABLE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_PARAMETER, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_VARIABLE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/TodoController.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/TodoController.java|RENAME_PARAMETER, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/TodoController.java|RENAME_VARIABLE], [spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_PARAMETER]]","[addDateTimeFormatPatterns, getCurrentUserAccount, getIsDone, getTitle, setIsDone, setTitle, toJsonArray]"
